1015;MACETA 15 CM. BRILLO MARRON.;24;0,22
1002;MACETA 20 CM. BRILLO MARRON.;12;0,36
1003;MACETA 25 CM. BRILLO MARRON.;12;0,52
1004;MACETA 30 CM. BRILLO MARRON.;12;0,84
1005;MACETA 35 CM. BRILLO MARRON.;12;1,29
1006;MACETA 40 CM. BRILLO MARRON.;12;1,87
1007;MACETA 45 CM. BRILLO MARRON.;12;2,67
1017;MACETA 15 CM. BRILLO VERDE.;24;0,22
1019;MACETA 20 CM. BRILLO VERDE.;12;0,36
1023;MACETA 25 CM. BRILLO VERDE.;12;0,52
1025;MACETA 30 CM. BRILLO VERDE.;12;0,84
1031;MACETA 35 CM. BRILLO VERDE.;12;1,29
1020;MACETA 40 CM. BRILLO VERDE.;12;1,87
1009;MACETA 45 CM. BRILLO VERDE.;12;2,67
1016;MACETA 15 CM. BRILLO BLANCO.;24;0,22
1018;MACETA 20 CM. BRILLO BLANCO.;12;0,36
1021;MACETA 25 CM. BRILLO BLANCO.;12;0,52
1026;MACETA 30 CM. BRILLO BLANCO.;12;0,84
1030;MACETA 35 CM. BRILLO BLANCO.;12;1,29
1024;MACETA 40 CM. BRILLO BLANCO.;12;1,87
1008;MACETA 45 CM. BRILLO BLANCO.;12;2,67
2007;PLATO MACETA 15 CM. MARRON.;24;0,12
2002;PLATO MACETA 20 CM. MARRON.;24;0,15
2003;PLATO MACETA 25 CM. MARRON.;24;0,24
2004;PLATO MACETA 30 CM. MARRON.;24;0,31
2005;PLATO MACETA 35 CM. MARRON.;24;0,39
2006;PLATO MACETA 40 CM. MARRON.;24;0,49
2017;PLATO MACETA 15 CM. VERDE.;24;0,12
2019;PLATO MACETA 20 CM. VERDE.;24;0,15
2023;PLATO MACETA 25 CM. VERDE.;24;0,24
2025;PLATO MACETA 30 CM. VERDE.;24;0,31
2036;PLATO MACETA 35 CM. VERDE.;24;0,39
2091;PLATO MACETA 40 CM. VERDE.;24;0,49
2016;PLATO MACETA 15 CM. BLANCO.;24;0,12
2018;PLATO MACETA 20 CM. BLANCO.;24;0,15
2090;PLATO MACETA 25 CM. BLANCO.;24;0,24
2026;PLATO MACETA 30 CM. BLANCO.;24;0,31
2035;PLATO MACETA 35 CM. BLANCO.;24;0,39
2024;PLATO MACETA 40 CM. BLANCO.;24;0,49
3255;MACETA 15 CM. BRILLO colores.;24;0,23
3256;MACETA 20 CM. BRILLO colores.;12;0,37
3257;MACETA 25 CM. BRILLO colores.;12;0,54
3263;MACETA 30 CM. BRILLO colores.;12;0,86
3264;MACETA 35 CM. BRILLO colores.;12;1,31
3317;MACETA 40 CM. BRILLO colores.;12;1,89
3258;PLATO MACETA 15 CM. colores.;24;0,13
3259;PLATO MACETA 20 CM. colores.;24;0,16
3260;PLATO MACETA 25 CM. colores.;24;0,25
3265;PLATO MACETA 30 CM. colores.;24;0,31
3266;PLATO MACETA 35 CM. colores.;24;0,40
3318;PLATO MACETA 40 CM. colores.;24;0,50
3305M;MACETA RUSTICA 19 CM. Marron;12;0,39
3306M;MACETA RUSTICA 24 CM. Marron;12;0,61
3307M;MACETA RUSTICA 29 CM. Marron;12;0,99
3308M;MACETA RUSTICA 33 CM. Marron;12;1,45
3310M;MACETA RUSTICA 38 CM. Marron;12;1,87
3309M;PLATO RUSTICO 19 CM. Marron;12;0,18
3311M;PLATO RUSTICO 24 CM. Marron;12;0,24
3312M;PLATO RUSTICO 29 CM. Marron;12;0,29
3313M;PLATO RUSTICO 33 CM. Marron;12;0,39
3314M;PLATO RUSTICO 38 CM. Marron;12;0,49
3305N;MACETA RUSTICA 19 CM. Negra;12;0,39
3306N;MACETA RUSTICA 24 CM. Negra;12;0,61
3307N;MACETA RUSTICA 29 CM. Negra;12;0,99
3308N;MACETA RUSTICA 33 CM. Negra;12;1,45
3309N;MACETA RUSTICA 38 CM. Negra;12;1,87
3310N;PLATO RUSTICO 19 CM. Negra;12;0,18
3311N;PLATO RUSTICO 24 CM. Negra;12;0,24
3312N;PLATO RUSTICO 29 CM. Negra;12;0,29
3313N;PLATO RUSTICO 33 CM. Negra;12;0,39
3314N;PLATO RUSTICO 38 CM. Negra;12;0,49
3305V;MACETA RUSTICA 19 CM. Verde;12;0,39
3306V;MACETA RUSTICA 24 CM. Verde;12;0,61
3307V;MACETA RUSTICA 29 CM. Verde;12;0,99
3308V;MACETA RUSTICA 33 CM. Verde;12;1,45
3309V;MACETA RUSTICA 38 CM. Verde;12;1,87
3310V;PLATO RUSTICO 19 CM. Verde;12;0,18
3311V;PLATO RUSTICO 24 CM. Verde;12;0,24
3312V;PLATO RUSTICO 29 CM. Verde;12;0,29
3313V;PLATO RUSTICO 33 CM. Verde;12;0,39
3314V;PLATO RUSTICO 38 CM. Verde;12;0,49
3239B;MACETA CERCA BLANCA;6;1,59
3239M;MACETA CERCA MARRON;6;1,59
3239V;MACETA CERCA VERDE;6;1,59
3239R;MACETA CERCA ROJA;6;1,59
3239N;MACETA CERCA NEGRA;6;1,59
4002;JARDINERA 38 CM.CORTINA MARRON.;12;0,59
4004;JARDINERA 47 CM.CORTINA MARRON.;12;1,34
4003;JARDINERA 55 CM.CORTINA MARRON.;12;1,63
4010;JARDINERA 65 CM. CORTINA MARRON.;12;2,20
2020;PLATO JARDINERA 38 CM. MARRON.;12;0,32
2021;PLATO JARDINERA 47 CM. MARRON.;12;0,41
2010;PLATO JARDINERA 55 CM. MARRON.;12;0,55
2030;PLATO JARDINERA 65 CM. MARRON.;12;0,76
4006;JARDINERA 38 CM.CORTINA VERDE.;12;0,59
4008;JARDINERA 47 CM.CORTINA VERDE.;12;1,34
4014;JARDINERA 55 CM.CORTINA VERDE.;12;1,63
4012;JARDINERA 65 CM. CORTINA VERDE.;12;2,20
2028;PLATO JARDINERA 38 CM. VERDE.;12;0,32
2022;PLATO JARDINERA 47 CM. VERDE.;12;0,41
2000;PLATO JARDINERA 55 CM. VERDE.;12;0,55
2041;PLATO JARDINERA 65 CM. VERDE.;12;0,76
4005;JARDINERA 38 CM.CORTINA BLANCA.;12;0,59
4007;JARDINERA 47 CM.CORTINA BLANCA.;12;1,34
4013;JARDINERA 55 CM.CORTINA BLANCA.;12;1,63
4011;JARDINERA 65 CM. CORTINA BLANCA.;12;2,20
2029;PLATO JARDINERA 38 CM. BLANCO.;12;0,32
2008;PLATO JARDINERA 47 CM. BLANCO.;12;0,41
2027;PLATO JARDINERA 55 CM. BLANCO.;12;0,55
2040;PLATO JARDINERA 65 CM. BLANCO.;12;0,76
;JARDINERA 65 CM. CORTINA COLORES.;12;
3326;JARDINERA 55 CM. CORTINA COLORES.;12;1,65
3319;JARDINERA 47 CM. CORTINA COLORES.;12;1,36
3267;JARDINERA 38 CM. CORTINA COLORES.;12;0,60
;PLATO JARDINERA 65 CM. COLORES.;12;
3327;PLATO JARDINERA 55 CM. COLORES.;12;0,56
3320;PLATO JARDINERA 47 CM. COLORES.;12;0,42
3268;PLATO JARDINERA 38 CM. COLORES.;12;0,33
4021;JARDINERA 25 CM. BLANCA.;12;0,44
4022;JARDINERA 25 CM. MARRON.;12;0,44
4020;JARDINERA 25 CM. VERDE.;12;0,44
3271;JARDINERA 45 CM. C/PLATO MARRON.;6;1,45
3272;JARDINERA 45 CM. C/PLATO NEGRA.;6;1,45
3437;MACETA CUADRADA 2,5 Lt. (15cm. x 14cm.) pistacho.;6;0,73
3438;MACETA CUADRADA 2,5 Lt. (15cm. x 14cm.) rosa.;6;0,73
3439;MACETA CUADRADA 2,5 Lt. (15cm. x 14cm.) roja.;6;0,73
3446;MACETA CUADRADA 2,5 Lt. (15cm. x 14cm.) blanca.;6;0,73
3447;MACETA CUADRADA 2,5 Lt. (15cm. x 14cm.) negra.;6;0,73
3448;MACETA CUADRADA 2,5 Lt. (15cm. x 14cm.) oro.;6;0,73
3440;MACETA CUADRADA 5,5 Lt. (20cm. X 18,5cm.) pistacho.;6;1,23
3441;MACETA CUADRADA 5,5 Lt. (20cm. X 18,5cm.) rosa.;6;1,23
3442;MACETA CUADRADA 5,5 Lt. (20cm. X 18,5cm.) roja.;6;1,23
3449;MACETA CUADRADA 5,5 Lt. (20cm. X 18,5cm.) blanca.;6;1,23
3450;MACETA CUADRADA 5,5 Lt. (20cm. X 18,5cm.) negra.            ;6;1,23
3451;MACETA CUADRADA 5,5 Lt. (20cm. X 18,5cm.) oro.;6;1,23
3443;MACETA CUADRADA 11,5 Lt. (24,5cm. X 23cm.) pistacho.;6;1,73
3444;MACETA CUADRADA 11,5 Lt. (24,5cm. X 23cm.) rosa.;6;1,73
3445;MACETA CUADRADA 11,5 Lt. (24,5cm. X 23cm.) roja.;6;1,73
3452;MACETA CUADRADA 11,5 Lt. (24,5cm. X 23cm.) blanca.;6;1,73
3453;MACETA CUADRADA 11,5 Lt. (24,5cm. X 23cm.) negra.;6;1,73
3454;MACETA CUADRADA 11,5 Lt. (24,5cm. X 23cm.) oro.;6;1,73
3455;JARDINERA RECT. 8,5 Lt. (40 cm. X 17,5 cm.) verde.;6;1,63
3456;JARDINERA RECT. 8,5 Lt. (40 cm. X 17,5 cm.) rosa.;6;1,63
3457;JARDINERA RECT. 8,5 Lt. (40 cm. X 17,5 cm.) roja.;6;1,63
3458;JARDINERA RECT. 8,5 Lt. (40 cm. X 17,5 cm.) blanca.;6;1,63
3459;JARDINERA RECT. 8,5 Lt. (40 cm. X 17,5 cm.) negra.;6;1,63
3460;JARDINERA RECT. 8,5 Lt. (40 cm. X 17,5 cm.) oro.;6;1,63
3461;MACETA 27 CM. MARRON C/COLGADOR.;6;2,02
3462;MACETA 31 CM. MARRON C/COLGADOR.;6;2,24
3465;MACETA 27 CM. VERDE C/COLGADOR.;6;2,02
3466;MACETA 31 CM. VERDE C/COLGADOR.;6;2,24
3301;SOPORTE JARDINERA 40 CM.;12;1,47
3292;SOPORTE JARDINERA METAL. C/SEGURIDAD.;12;1,67
3422;SOPORTE JARDINERA FORJA 38 cm. X 19 cm.;12;1,71
3293;SOPORTE JARDINERA FORJA 27 cm. X 19 cm.;12;1,59
3294;SOPORTE SUELO 20 CM. NEGRO.;12;1,09
3295;SOPORTE SUELO 25 CM. NEGRO.;12;1,27
3296;SOPORTE SUELO 30 CM. NEGRO.;12;1,43
3297;SOPORTE SUELO 35 CM. NEGRO.;12;1,64
3300;SOPORTE BALCON C/2 PLATOS NEGRO.;12;3,45
3352;SOPORTE BALCON C/2 PLATOS BLANCO.;12;3,69
3426;SOPORTE BALCON C/2 PLATOS PISTACHO.;12;3,85
3429;SOPORTE BALCON C/2 PLATOS FUSIA.;12;3,69
3423;SOPORTE PARED C/DOS PLATOS 17 CM. NEGRO.;12;2,85
3436;SOPORTE PARED C/DOS PLATOS 17 CM. BLANCOS.;12;3,07
3432;SOPORTE PARED C/DOS PLATOS 17 CM. PISTACHO.;12;3,07
3435;SOPORTE PARED C/DOS PLATOS 17 CM. FUSIA.;12;3,07
3349;SOPORTE ARO PARED 16 CM. NEGRO.;12;0,95
3348;SOPORTE ARO PARED 20 CM. NEGRO.;12;1,05
3346;SOPORTE ARO BALCON 20 CM. NEGRO.;12;1,05
3347;SOPORTE ARO BALCON 16 CM. NEGRO.;12;0,95
3344;SOPORTE BALCON C/PLATO 22 CM. NEGRO.;12;1,83
3298;SOPORTE BALCON C/PLATO 17 CM. NEGRO.;12;1,75
3345;SOPORTE PARED C/PLATO 22 CM. NEGRO.;12;1,75
3299;SOPORTE PARED C/PLATO 17 CM. NEGRO.;12;1,71
3354;SOPORTE PARED C/PLATO 22 CM. BLANCO.;12;1,99
3431;SOPORTE PARED C/PLATO 22 CM. PISTACHO.;12;1,99
3434;SOPORTE PARED C/PLATO 22 CM. FUSIA.;12;1,99
3353;SOPORTE PARED C/PLATO 17 CM. BLANCO.;12;1,91
3430;SOPORTE PARED C/PLATO 17 CM. PISTACHO.;12;1,91
3433;SOPORTE PARED C/PLATO 17 CM. FUSIA.;12;1,91
3351;SOPORTE BALCON C/PLATO 22 CM. BLANCO.;12;2,09
3425;SOPORTE BALCON C/PLATO 22 CM. PISTACHO.;12;2,19
3428;SOPORTE BALCON C/PLATO 22 CM. FUSIA.;12;2,09
3350;SOPORTE BALCON C/PLATO 17 CM. BLANCO.;12;1,99
3424;SOPORTE BALCON C/PLATO 17 CM. PISTACHO.;12;2,09
3427;SOPORTE BALCON C/PLATO 17 CM. FUSIA.;12;1,99
3483;RASTRILLO 29X9 CM;12;0,98
3481;PALA CUCHARA 1 32X7 CM;12;0,98
3482;PALA CUCHARA 2 29X8 CM;12;0,98
3489U;MACETAS CERAMICA Nº 1;1;1,15
3489P;MACETAS CERAMICA Nº 1;1;600,00
3490U;MACETAS CERAMICA Nº 2;1;0,85
3490P;MACETAS CERAMICA Nº 2;1;650,00
3491U;MACETAS CERAMICA Nº 3;1;0,55
3491P;MACETAS CERAMICA Nº 3;1;700,00
